Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Landon Dickerson,OL,2021,0,0,1,6,14,0,0,0,0,0,0,0,0,0,0,0,,,,DickLa00
Christian DiLauro,T,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,DiLaCh00
Victor Dimukeje,DE,2021,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,,,,DimuVi00
Myles Dorn,DB,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,,,DornMy01
Tommy Doyle,OL,2021,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,DoylTo00
Isaiah Dunn,DB,2021,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,7,,,DunnIs00
Michael Dwumfour,DL,2021,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,,0.5,DwumMi00
Jacob Eason,QB,2021,0,0,0,0,1,2,5,25,0,1,0,0,0,0,0,0,,,,EasoJa00
Dominik Eberle,K,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,EberDo01
Brandin Echols,CB,2021,0,0,1,4,14,0,0,0,0,0,0,0,0,0,0,0,50,2,,EchoBr00
Sam Ehlinger,QB,2021,0,0,0,0,3,0,0,0,0,0,3,9,0,0,0,0,,,,EhliSa00
Liam Eichenberg,T,2021,0,0,1,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,EichLi00
Milo Eifler,LB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,EiflMi00
Jalen Elliott,DB,2021,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,7,,,ElliJa05
Christian Elliss,LB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,ElliCh00
D'Wayne Eskridge,WR,2021,0,0,0,1,10,0,0,0,0,0,4,59,0,10,64,1,,,,EskrDW00
Dorian Etheridge,LB,2021,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,EtheDo00
Chris Evans,RB,2021,0,0,0,2,14,0,0,0,0,0,17,77,0,15,151,2,4,,,EvanCh02
Austin Faoliu,DT,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,FaolAu00
Caleb Farley,DB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,,,FarlCa00
Matt Farniok,G,2021,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,FarnMa00
Luke Farrell,TE,2021,0,0,0,0,15,0,0,0,0,0,0,0,0,7,56,0,,,,FarrLu00
Rojesterman Farris,CB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,FarrRo00
Tavien Feaster,RB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,FeasTa01
Simi Fehoko,WR,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,FehoSi00
Demetric Felton,RB,2021,0,0,0,2,16,0,0,0,0,0,7,24,0,18,181,2,2,,,FeltDe00
Maurice Ffrench,WR,2021,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,,,,FfreMa00
Justin Fields,QB,2021,0,0,0,6,12,159,270,1870,7,10,72,420,2,0,0,0,,,,FielJu00
Tony Fields,LB,2021,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,,,FielTo00
Dez Fitzpatrick,WR,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,5,49,1,1,,,FitzDe00
Darrick Forrest,S,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,ForrDa00
Miller Forristall,TE,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,ForrMi00
Stone Forsythe,OL,2021,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,ForsSt00
Joe Fortson,WR,2021,0,0,0,0,6,0,0,0,0,0,0,0,0,5,47,2,,,,FortJo01
Joe Fortunato,LS,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,FortJo02
