Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MondKe00
3,67,HOU,Davis Mills,QB,22,2021,0,0,1,7,7,13,263,394,2664,16,10,18,44,0,0,0,0,,,,Stanford,College Stats,MillDa02
3,68,ATL,Jalen Mayfield,OL,21,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MayfJa00
3,69,CIN,Joseph Ossai,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,OssaJo00
3,70,CAR,Brady Christensen,OL,24,2021,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,College Stats,ChriBr00
3,71,NYG,Aaron Robinson,DB,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,16,,,Central Florida,College Stats,RobiAa00
3,72,DET,Alim McNeill,DT,21,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,North Carolina St.,College Stats,McNeAl00
3,73,PHI,Milton Williams,DL,22,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,Louisiana Tech,College Stats,WillMi08
3,74,WAS,Benjamin St-Juste,DB,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,20,,,Minnesota,College Stats,StJuBe00
3,75,DAL,Osa Odighizuwa,DL,23,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,21,,2.0,UCLA,College Stats,OdigOs00
3,76,NOR,Paulson Adebo,CB,22,2021,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,55,3,,Stanford,College Stats,AdebPa00
3,77,LAC,Josh Palmer,WR,22,2021,0,0,0,3,3,17,0,0,0,0,0,1,6,0,33,353,4,2,,,Tennessee,College Stats,PalmJo00
3,78,MIN,Chazz Surratt,LB,24,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats,SurrCh00
3,79,LVR,Malcolm Koonce,DE,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,Buffalo,College Stats,KoonMa00
3,80,LVR,Divine Deablo,DB,23,2021,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,28,,,Virginia Tech,College Stats,DeabDi00
3,81,MIA,Hunter Long,TE,23,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,8,0,,,,Boston Col.,College Stats,LongHu00
3,82,WAS,Dyami Brown,WR,21,2021,0,0,0,1,1,15,0,0,0,0,0,1,-4,0,12,165,0,1,,,North Carolina,College Stats,BrowDy00
3,83,CAR,Tommy Tremble,TE,21,2021,0,0,1,1,1,16,0,0,0,0,0,3,11,1,20,180,1,2,,,Notre Dame,College Stats,TremTo00
3,84,DAL,Chauncey Golston,DL,23,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,14,,1.0,Iowa,College Stats,GolsCh00
3,85,GNB,Amari Rodgers,WR,21,2021,0,0,0,1,1,16,0,0,0,0,0,1,11,0,4,45,0,3,,,Clemson,College Stats,RodgAm00
3,86,MIN,Wyatt Davis,OL,22,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,DaviWy00
