Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
300,Rashaad Penny,SEA,22,,14,0,12,9,75,0,3,2,0.2,73,8.1,0.5,1,9.0,2,16.7,1,55.9,PennRa00
301,MyCole Pruitt,TEN,26,,15,1,11,9,102,1,6,74,8.2,28,3.1,9.6,0,,0,0.0,0,135.6,PruiMy00
302,Trey Quinn,WAS,23,,3,2,10,9,75,1,5,58,6.4,17,1.9,7.3,0,,0,0.0,1,91.7,QuinTr00
303,Michael Roberts,DET,24,,8,2,20,9,100,3,5,77,8.6,23,2.6,6.3,0,,3,15.0,2,60.4,RobeMi01
304,Scott Simonson,NYG,26,,16,4,14,9,86,1,6,55,6.1,31,3.4,4.7,0,,0,0.0,1,75.3,SimoSc00
305,Rod Smith,DAL,26,,16,1,12,9,60,0,1,3,0.3,57,6.3,-0.4,1,9.0,0,0.0,0,85.4,SmitRo06
306,Tavon Austin,DAL,28,,7,0,13,8,140,2,5,103,12.9,37,4.6,16.0,0,,2,15.4,1,105.8,AustTa00
307,Cameron Batson,TEN,23,,11,2,11,8,82,0,5,28,3.5,54,6.8,6.6,0,,0,0.0,1,55.9,BatsCa00
308,Blake Bell,JAX,27,,10,4,11,8,67,0,3,29,3.6,38,4.8,5.3,1,8.0,0,0.0,0,88.1,BellBl00
309,Jake Butt,DEN,23,,3,3,13,8,85,0,4,41,5.1,44,5.5,7.5,1,8.0,0,0.0,2,41.0,ButtJa00
310,Will Dissly,SEA,22,,4,4,14,8,156,2,5,63,7.9,93,11.6,10.1,2,4.0,0,0.0,0,135.7,DissWi00
311,Andy Janovich,DEN,25,FB,16,7,10,8,112,1,5,49,6.1,63,7.9,5.1,1,8.0,0,0.0,0,146.7,JanoAn00
312,Jake Kumerow,GNB,26,,5,2,11,8,103,1,4,80,10.0,23,2.9,10.1,0,,0,0.0,0,132.0,KumeJa00
313,Taquan Mizzell,CHI,25,,9,1,10,8,78,1,4,44,5.5,34,4.3,5.0,0,,0,0.0,0,132.5,MizzTa00
314,Alfred Morris,SFO,30,,12,1,13,8,73,0,5,6,0.8,67,8.4,-0.3,2,4.0,0,0.0,1,44.7,MorrAl00
315,Nick O'Leary,MIA,26,TE,12,7,10,8,86,1,6,21,2.6,65,8.1,3.9,0,,0,0.0,0,135.8,OLeaNi00
316,Elijhaa Penny,NYG,25,,14,3,9,8,50,0,1,-1,-0.1,51,6.4,0.2,1,8.0,0,0.0,0,89.8,PennEl00
317,Anthony Sherman*,KAN,30,,16,1,9,8,96,1,5,40,5.0,56,7.0,4.9,1,8.0,1,11.1,0,148.1,SherAn00
318,Erik Swoope,IND,26,,7,2,10,8,87,3,5,70,8.8,17,2.1,9.4,0,,1,10.0,0,142.5,SwooEr00
319,Eric Tomlinson,NYJ,26,TE,15,12,14,8,72,0,3,-17,-2.1,89,11.1,3.2,2,4.0,2,14.3,1,41.4,TomlEr01
320,Josh Adams,PHI,22,rb,14,5,13,7,58,0,3,-7,-1.0,65,9.3,-0.7,0,,2,15.4,0,65.5,AdamJo03
321,Mo Alie-Cox,IND,25,,9,1,13,7,133,2,6,83,11.9,50,7.1,11.7,1,7.0,1,7.7,1,97.1,AlieMo00
322,Antony Auclair,TAM,25,te,16,10,8,7,48,0,1,40,5.7,8,1.1,5.0,0,,0,0.0,0,91.7,AuclAn00
323,Derek Carrier,OAK,28,,16,2,12,7,67,1,3,51,7.3,16,2.3,8.8,0,,0,0.0,1,67.0,CarrDe00
324,Ronald Jones II,TAM,21,,9,0,9,7,33,0,2,-9,-1.3,42,6.0,-1.6,1,7.0,2,22.2,0,81.9,JoneRo01
325,T.J. Logan,ARI,24,,10,0,7,7,37,0,1,-2,-0.3,39,5.6,-0.3,0,,0,0.0,0,88.7,LogaT.00
326,Sony Michel,NWE,23,RB,13,8,11,7,50,0,3,0,0.0,50,7.1,1.0,0,,2,18.2,0,74.1,MichSo00
327,JJ Nelson,ARI,26,,14,2,19,7,64,0,4,40,5.7,24,3.4,18.8,0,,0,0.0,2,7.2,NelsJJ00
328,Zach Zenner,DET,27,,8,1,10,7,56,0,3,-3,-0.4,59,8.4,0.6,0,,2,20.0,0,83.7,ZennZa00
329,Kamar Aiken,PHI,29,,5,1,7,6,53,0,2,42,7.0,11,1.8,6.7,0,,0,0.0,0,98.2,AikeKa00
330,Tommy Bohanon,JAX,28,FB,16,6,9,6,41,0,1,6,1.0,35,5.8,3.6,1,6.0,0,0.0,0,76.6,BohaTo00
331,Brice Butler,2TM,28,,8,1,10,6,60,1,4,59,9.8,1,0.2,13.8,0,,0,0.0,,110.4,ButlBr00
332,Kenneth Dixon,BAL,24,,6,0,7,6,51,0,2,-3,-0.5,54,9.0,-0.9,1,6.0,0,0.0,0,97.0,DixoKe00
333,Russell Gage,ATL,22,,15,0,10,6,63,0,2,44,7.3,19,3.2,10.5,0,,2,20.0,0,78.3,GageRu00
334,Rashad Greene,JAX,26,,8,1,8,6,60,0,3,45,7.5,15,2.5,7.5,0,,1,12.5,0,95.8,GreeRa00
335,Xavier Grimble,PIT,26,,16,2,8,6,86,0,4,30,5.0,56,9.3,7.0,0,,0,0.0,0,109.4,GrimXa00
336,David Grinnage,JAX,24,,4,2,8,6,61,0,2,43,7.2,18,3.0,7.9,0,,0,0.0,0,96.4,GrinDa00
337,Dwayne Harris,OAK,31,,15,1,6,6,40,0,1,-7,-1.2,47,7.8,-1.2,1,6.0,0,0.0,0,94.4,HarrDw00
338,Marcus Johnson,IND,24,,5,0,8,6,102,1,5,74,12.3,28,4.7,13.8,0,,1,12.5,0,156.2,JohnMa07
339,Raheem Mostert,SFO,26,,9,0,7,6,25,0,1,-19,-3.2,44,7.3,-0.6,0,,0,0.0,0,81.5,MostRa00
340,Durham Smythe,MIA,23,,15,2,11,6,50,0,2,43,7.2,7,1.2,4.3,0,,0,0.0,1,28.6,SmytDu00
