Player,Tm,Age,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,ProBowl,AllPro,Year,G_-1_year,GS_-1_year,Tgt_-1_year,Rec_-1_year,Yds_-1_year,TD_-1_year,G_-2_year,GS_-2_year,Tgt_-2_year,Rec_-2_year,Yds_-2_year,TD_-2_year,Rnd,Pick,Pos,YrsPlayed
Deon Yelder,KAN,25,14,1,11,7,36,0,2.0,6,0.9,30,4.3,5.2,0,0.0,0,0.0,0,68.7,YeldDe00,0,0,2020,9.0,1.0,4.0,3.0,50.0,0.0,,,,,,,8.0,260.0,TE,2
Josh Adams,NYJ,24,8,0,8,6,29,0,2.0,5,0.8,24,4.0,0.1,0,0.0,0,0.0,0,79.7,AdamJo03,0,0,2020,,,,,,,14.0,5.0,13.0,7.0,58.0,0.0,8.0,260.0,RB,2
Dez Bryant,BAL,32,6,0,11,6,47,2,3.0,13,2.2,34,5.7,4.7,0,0.0,1,9.1,0,104.9,BryaDe01,0,0,2020,,,,,,,,,,,,,1.0,24.0,WR,10
River Cracraft,SFO,26,9,1,9,6,41,0,2.0,30,5.0,11,1.8,6.4,1,6.0,1,11.1,0,76.6,CracRi00,0,0,2020,,,,,,,8.0,0.0,2.0,1.0,44.0,0.0,8.0,260.0,WR,2
Cethan Carter,CIN,25,15,5,7,5,53,0,3.0,43,8.6,10,2.0,7.7,0,0.0,1,14.3,0,93.2,CartCe00,0,0,2020,15.0,0.0,3.0,2.0,13.0,1.0,,,,,,,8.0,260.0,TE,3
Corey Clement,PHI,26,15,0,6,5,25,0,2.0,-7,-1.4,32,6.4,-1.7,0,0.0,1,16.7,0,84.0,ClemCo00,0,0,2020,,,,,,,11.0,0.0,25.0,22.0,192.0,0.0,8.0,260.0,RB,3
Pharoh Cooper,CAR,25,16,1,8,5,73,0,3.0,38,7.6,35,7.0,9.9,0,0.0,0,0.0,0,92.2,CoopPh00,0,0,2020,13.0,1.0,33.0,25.0,243.0,1.0,,,,,,,4.0,117.0,WR,4
Damien Harris,NWE,23,10,10,7,5,52,0,4.0,-3,-0.6,55,11.0,-0.4,0,0.0,0,0.0,1,53.0,HarrDa06,0,0,2020,,,,,,,16.0,10.0,26.0,21.0,174.0,1.0,3.0,87.0,RB,1
Steven Mitchell,HOU,26,6,1,8,5,60,0,3.0,50,10.0,10,2.0,13.8,0,0.0,0,0.0,0,85.4,MitcSt02,0,0,2020,3.0,1.0,6.0,2.0,37.0,0.0,,,,,,,8.0,260.0,WR,2
Theo Riddick,LVR,29,4,0,6,5,43,0,1.0,10,2.0,33,6.6,1.7,0,0.0,0,0.0,0,96.5,RiddTh00,0,0,2020,,,,,,,14.0,3.0,74.0,61.0,384.0,0.0,6.0,199.0,RB,7
