Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
36,D.J. Moore,CAR,23,WR,15,14,118,66,1193,4,53.0,811,12.3,382,5.8,13.2,6,11.0,7,5.9,9,70.3,MoorD.00,2020,15.0,15.0,135.0,87.0,1175.0,4.0,16.0,10.0,82.0,55.0,788.0,2.0
37,Sterling Shepard,NYG,27,WR,12,12,90,66,656,3,37.0,452,6.8,204,3.1,8.3,2,33.0,1,1.1,1,100.0,ShepSt00,2020,10.0,10.0,83.0,57.0,576.0,3.0,16.0,16.0,107.0,66.0,872.0,4.0
38,Corey Davis,TEN,25,WR,14,12,92,65,984,5,49.0,693,10.7,291,4.5,11.7,3,21.7,3,3.3,0,123.6,DaviCo03,2020,15.0,11.0,69.0,43.0,601.0,2.0,16.0,16.0,112.0,65.0,891.0,4.0
39,Chris Godwin,TAM,24,WR,12,12,84,65,840,7,43.0,560,8.6,280,4.3,10.2,2,32.5,3,3.6,1,131.1,GodwCh00,2020,14.0,14.0,121.0,86.0,1333.0,9.0,16.0,5.0,95.0,59.0,842.0,7.0
40,Evan Engram*,NYG,26,TE,16,14,109,63,654,1,32.0,367,5.8,287,4.6,7.2,4,15.8,11,10.1,6,55.4,EngrEv00,2020,8.0,6.0,68.0,44.0,467.0,3.0,11.0,8.0,64.0,45.0,577.0,3.0
41,Nyheim Hines,IND,24,,16,2,76,63,482,4,24.0,12,0.2,470,7.5,0.7,5,12.6,1,1.3,0,110.6,HineNy00,2020,16.0,2.0,58.0,44.0,320.0,0.0,16.0,4.0,81.0,63.0,425.0,2.0
42,DeVante Parker,MIA,27,WR,14,11,103,63,793,4,45.0,620,9.8,173,2.7,9.7,6,10.5,6,5.8,2,90.0,ParkDe01,2020,16.0,14.0,128.0,72.0,1202.0,9.0,11.0,7.0,47.0,24.0,309.0,1.0
43,Dalton Schultz,DAL,24,TE,16,14,89,63,615,4,33.0,336,5.3,279,4.4,6.4,8,7.9,4,4.5,2,95.5,SchuDa00,2020,16.0,0.0,2.0,1.0,6.0,0.0,11.0,7.0,17.0,12.0,116.0,0.0
44,Chase Claypool,PIT,22,WR,16,6,109,62,873,9,41.0,544,8.8,329,5.3,13.2,3,20.7,6,5.5,0,110.4,ClayCh01,2020,,,,,,,,,,,,
45,Noah Fant,DEN,23,TE,15,14,93,62,673,3,34.0,296,4.8,377,6.1,6.7,4,15.5,5,5.4,2,89.6,FantNo00,2020,16.0,11.0,66.0,40.0,562.0,3.0,,,,,,
46,Darnell Mooney,CHI,23,WR,16,9,98,61,631,4,33.0,377,6.2,254,4.2,11.5,8,7.6,1,1.0,2,85.9,MoonDa00,2020,,,,,,,,,,,,
47,Emmanuel Sanders,NOR,33,WR,14,5,82,61,726,5,33.0,556,9.1,170,2.8,8.8,3,20.3,3,3.7,2,111.1,SandEm00,2020,17.0,16.0,97.0,66.0,869.0,5.0,12.0,12.0,98.0,71.0,868.0,4.0
