Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
337,Kenjon Barner,PHI,27,,13,0,11,5,45.5%,42,8.4,0,3,15,3.8,0.4,3.2,0,BarnKe00
338,Arrelious Benn,JAX,28,,15,0,10,5,50.0%,116,23.2,1,3,51,11.6,0.3,7.7,0,BennAr00
339,Ka'Deem Carey,CHI,24,,12,0,7,5,71.4%,55,11.0,0,4,16,7.9,0.4,4.6,0,CareKa00
340,Knile Davis,2TM,25,,11,0,7,5,71.4%,25,5.0,0,0,11,3.6,0.5,2.3,0,DaviKn00
341,Rashad Greene,JAX,24,,8,0,8,5,62.5%,32,6.4,0,1,9,4.0,0.6,4.0,4,GreeRa00
342,Andy Janovich,DEN,23,rb,11,5,7,5,71.4%,44,8.8,0,4,13,6.3,0.5,4.0,0,JanoAn00
343,Malcolm Johnson,CLE,24,,7,1,7,5,71.4%,44,8.8,0,2,21,6.3,0.7,6.3,1,JohnMa06
344,T.J. Jones,DET,24,,3,0,14,5,35.7%,93,18.6,0,2,36,6.6,1.7,31.0,0,JoneT.00
345,Marcel Reece,SEA,31,,4,0,5,5,100.0%,73,14.6,0,2,31,14.6,1.3,18.3,0,ReecMa00
346,Luke Stocker,TAM,28,TE,12,10,8,5,62.5%,23,4.6,0,2,11,2.9,0.4,1.9,0,StocLu00
347,Nick Williams,ATL,26,,2,0,7,5,71.4%,59,11.8,0,5,19,8.4,2.5,29.5,0,WillNi02
348,Blake Bell,SFO,25,,13,0,9,4,44.4%,85,21.3,0,2,45,9.4,0.3,6.5,0,BellBl00
349,Ben Braunecker,CHI,22,,13,2,6,4,66.7%,41,10.3,0,2,14,6.8,0.3,3.2,0,BrauBe00
350,Gavin Escobar,DAL,25,,16,1,7,4,57.1%,30,7.5,1,2,14,4.3,0.3,1.9,0,EscoGa00
351,Corey Grant,JAX,25,,11,1,7,4,57.1%,35,8.8,1,2,15,5.0,0.4,3.2,0,GranCo00
352,Mike James,TAM,25,,4,0,4,4,100.0%,22,5.5,0,0,6,5.5,1.0,5.5,0,JameMi00
353,Taiwan Jones,OAK,28,,13,0,4,4,100.0%,43,10.8,0,3,16,10.8,0.3,3.3,0,JoneTa00
354,Eddie Lacy,GNB,26,rb,5,5,7,4,57.1%,28,7.0,0,1,17,4.0,0.8,5.6,0,LacyEd00
355,Justin Perillo,GNB,25,,9,1,5,4,80.0%,35,8.8,0,1,13,7.0,0.4,3.9,0,PeriJu00
356,Jeremy Ross,2TM,28,,6,1,4,4,100.0%,37,9.3,1,0,15,9.3,0.7,6.2,0,RossJe01
357,Greg Salas,BUF,28,,2,1,6,4,66.7%,89,22.3,1,3,71,14.8,2.0,44.5,0,SalaGr00
358,Anthony Sherman,KAN,28,,16,3,6,4,66.7%,11,2.8,0,0,6,1.8,0.3,0.7,0,SherAn00
359,Phillip Supernaw,TEN,26,,15,2,5,4,80.0%,62,15.5,0,3,30,12.4,0.3,4.1,0,SupePh00
360,Danny Vitale,CLE,23,,9,3,5,4,80.0%,27,6.8,0,2,17,5.4,0.4,3.0,0,VitaDa00
361,Derek Watt,SDG,24,,16,2,4,4,100.0%,83,20.8,0,2,53,20.8,0.3,5.2,0,WattDe00
362,Markus Wheaton,PIT,25,,3,2,9,4,44.4%,51,12.8,1,2,30,5.7,1.3,17.0,0,WheaMa00
363,Wendall Williams,HOU,26,,3,0,7,4,57.1%,75,18.8,0,3,32,10.7,1.3,25.0,0,WillWe00
